transactionAmount,deviceNew,unusualLocation,failedAttempts,transactionsLastHour,accountAgeDays,fraud
37516.56,1,0,1,1,88,1
14372.4,0,0,2,3,857,0
61224.1,0,0,0,3,832,0
86008.05,0,0,0,3,898,0
44071.23,0,0,0,3,1414,0
56813.26,0,1,1,7,879,1
35739.66,0,0,0,3,648,0
81564.6,0,0,1,1,135,0
45000.12,0,0,2,4,1029,0
77119.62,0,0,1,1,743,0
56371.23,0,0,1,5,1013,0
80386.84,0,1,3,1,633,1
86086.99,0,0,1,1,1398,0
55854.39,0,0,0,3,952,0
60995.48,0,0,0,2,730,0
24281.32,0,0,0,5,609,1
50869.06,0,1,0,3,489,1
38734.86,1,0,0,3,144,0
55564.56,0,0,0,5,1155,0
40510.36,1,1,3,4,822,1
99446.3,0,0,1,4,955,0
26593.72,0,1,1,5,816,1
2529.17,0,0,3,0,280,0
55321.22,0,1,0,2,1347,1
55724.45,1,0,1,3,1410,1
84882.11,0,0,1,3,903,0
79849.69,0,0,2,1,727,0
32882.45,0,1,2,0,1078,1
32732.46,1,0,3,2,656,0
51678.4,0,0,0,1,741,0
8179.21,0,0,0,3,488,0
63863.23,0,0,1,0,154,0
75808.83,0,0,0,0,958,0
47469.97,0,0,1,4,1247,0
93350.29,0,0,4,4,957,1
94152.33,0,1,1,1,1277,1
68332.38,0,0,1,2,1099,0
73533.6,1,0,0,6,1214,1
23935.83,0,0,0,3,397,0
38981.25,0,1,0,5,1123,1
55414.93,0,1,1,4,733,1
11794.99,0,0,1,2,946,0
14745.82,0,0,3,5,167,1
90644.8,0,0,0,1,476,0
82296.76,0,0,0,2,929,0
96325.93,0,1,0,3,1251,1
7635.91,0,0,0,6,358,0
62051.25,0,0,1,1,41,1
45378.76,0,0,1,1,1277,0
41722.24,0,1,0,3,374,0
98728.89,0,0,2,3,823,0
81308.81,1,1,3,2,51,1
20802.04,1,0,0,1,250,0
77254.61,0,1,1,2,1327,1
78488.36,0,1,3,2,1332,1
45145.95,1,0,1,4,69,0
49312.55,0,0,0,1,1207,0
40090.02,0,0,1,5,1490,1
17783.35,0,0,1,3,249,0
68809.69,0,0,1,2,719,0
92411.77,0,0,2,1,1027,0
51216.58,0,0,1,2,714,0
84086.93,0,0,0,3,1170,0
53756.94,0,0,1,3,315,0
60616.9,0,0,0,1,843,0
80605.9,0,1,0,0,229,0
11292.69,0,1,2,4,1459,0
20587.25,1,0,0,4,139,0
32132.15,0,0,1,3,1343,0
76046.76,0,0,1,6,513,0
57489.86,1,0,1,1,5,1
63412.48,1,0,2,6,1007,1
54400.93,1,0,0,3,1039,0
49592.82,0,0,4,4,1183,0
45754.32,0,0,1,2,627,0
54318.17,0,0,0,5,141,1
10169.38,0,0,1,2,127,0
57671.21,0,0,3,3,825,1
31213.28,0,0,1,3,244,0
91993.58,0,0,1,2,664,0
16634.78,0,0,1,1,1073,0
96110.92,0,0,0,3,215,0
79998.22,0,0,1,5,1137,1
56008.07,0,0,2,3,1202,0
40857.65,0,0,0,5,1288,1
24392.9,0,1,1,2,944,1
63360.75,0,1,0,7,1143,1
62452.48,0,0,1,4,128,1
48529.36,0,0,1,3,29,1
27303.5,0,1,0,4,342,1
90011.86,1,0,2,4,1020,0
18518.65,0,0,0,8,1336,0
3215.2,0,0,0,4,713,0
41338.08,0,0,1,1,1459,0
59064.04,0,0,1,3,216,0
63931.04,1,0,3,1,47,1
58867.55,1,0,1,2,827,0
47474.0,1,1,0,1,1183,1
56111.65,0,1,1,5,1185,1
61624.73,0,0,1,7,245,1
58117.65,0,0,0,3,1453,0
28795.18,0,0,0,0,585,0
39223.85,0,1,1,7,1334,1
51317.58,0,0,0,3,1071,0
51874.21,0,0,0,6,1113,1
58050.61,0,1,0,6,955,1
25339.64,0,0,0,4,1138,0
48110.6,0,1,0,5,353,1
16123.97,0,0,1,5,426,1
33578.37,0,0,2,0,1248,0
32710.71,0,0,1,2,1479,0
96302.9,0,0,1,2,731,1
77121.33,0,0,0,3,716,0
13095.62,1,0,0,4,1454,0
94435.93,0,1,2,3,849,0
3227.1,0,1,3,4,1009,0
36915.78,1,0,1,6,693,1
96754.38,0,0,0,4,956,0
58238.94,0,0,0,1,274,0
39614.95,1,0,4,2,1070,1
49938.93,0,0,1,2,589,0
39752.64,0,0,2,1,317,0
3255.46,1,0,2,4,1108,0
59787.84,1,0,0,3,909,1
61612.63,0,0,2,0,914,0
33298.23,0,0,0,2,1231,0
46316.03,1,0,1,3,947,1
43917.68,0,0,2,3,1261,0
83616.21,0,0,1,4,553,0
87087.92,0,0,0,2,28,1
65707.99,0,0,0,3,270,0
44932.88,0,0,1,3,1131,0
66414.07,0,1,3,1,969,1
93666.91,0,0,2,1,490,0
48041.72,0,0,0,4,1318,0
3094.36,0,0,0,3,1376,0
96338.35,0,0,1,0,1169,0
86474.42,1,0,4,3,704,1
97719.7,0,1,2,5,1001,1
86903.17,0,0,1,4,1441,0
37387.85,0,0,2,4,629,0
10980.94,0,0,0,5,21,1
855.53,0,1,0,3,1358,0
25751.98,0,0,2,3,1369,0
12409.94,1,0,0,2,952,0
48406.21,1,0,0,6,10,1
36141.17,1,0,1,6,1463,1
16884.62,0,1,0,1,419,0
54715.07,0,0,1,3,1398,0
72479.23,0,0,2,5,1377,1
35564.13,0,0,0,5,381,0
19113.45,0,0,0,4,453,0
69031.49,0,0,0,6,348,0
2100.63,0,0,0,2,456,0
12858.58,1,0,1,2,341,0
23981.63,0,1,0,5,244,1
93066.46,0,1,1,4,1429,1
15463.74,0,1,2,3,336,0
17566.38,0,0,0,1,994,0
23331.88,0,0,0,5,43,1
65055.09,0,0,1,2,1080,0
43090.68,0,0,1,3,785,0
22158.18,0,0,3,4,598,0
24933.17,0,0,2,2,242,0
19965.74,0,0,1,3,510,0
32535.13,0,0,1,7,29,1
93038.86,0,0,2,3,1197,1
73769.63,0,0,0,2,408,0
3653.53,0,0,4,4,138,0
8308.95,1,0,2,1,1406,0
7018.51,1,0,1,2,781,0
74832.51,1,0,0,3,846,1
61332.66,1,0,0,3,1246,0
84666.78,1,0,1,5,235,1
54001.67,0,0,1,3,278,0
59075.73,0,0,2,3,129,0
88156.93,0,0,2,6,234,0
3627.6,0,0,1,1,1015,0
50254.82,0,0,2,2,871,1
61996.97,0,0,0,3,336,0
70324.05,0,0,1,0,915,0
7798.12,0,0,3,2,1207,0
37205.06,0,1,2,3,399,1
83996.25,0,0,1,2,254,0
69797.3,1,0,0,3,49,1
93741.59,0,0,0,3,809,0
61061.49,0,0,2,1,1244,0
27633.67,1,1,1,2,1252,1
6359.06,1,0,1,2,1227,0
56060.8,1,0,1,4,984,1
30939.0,1,1,0,0,629,1
25171.57,1,0,1,2,177,1
8264.36,0,0,0,6,344,0
11282.4,0,1,2,4,744,0
87970.23,1,0,2,0,1278,1
28314.85,0,0,1,1,709,0
20456.27,0,0,2,4,468,0
16686.83,0,0,1,2,613,0
82055.71,0,0,2,4,670,0
16678.89,1,0,0,0,131,0
71963.43,1,0,1,5,943,1
31474.67,0,1,2,1,1441,1
14283.0,0,0,2,5,272,1
31560.47,0,0,0,2,640,0
69445.64,0,0,0,0,949,0
93836.65,1,0,2,3,888,1
22750.37,0,0,1,1,424,0
91815.85,0,1,0,3,1351,1
55962.56,0,0,1,1,676,1
24265.19,0,0,0,3,68,0
87738.45,0,0,2,3,494,0
52192.42,0,1,1,3,728,0
2611.68,0,0,2,2,533,0
59210.55,0,0,1,6,1111,1
89158.85,0,0,2,4,1456,0
20778.56,0,0,0,1,892,0
46338.91,0,0,1,4,183,0
49405.3,0,1,0,2,1356,0
67127.21,0,0,0,4,1005,0
4151.82,1,0,2,2,1137,0
8109.98,0,1,2,1,210,0
11662.19,0,0,2,6,986,0
80821.46,0,0,1,3,73,1
78919.62,0,0,3,3,1404,1
37517.83,0,0,0,2,1226,0
63726.54,0,0,1,3,1228,0
10615.39,0,1,0,3,1454,0
38859.88,0,0,1,2,170,0
